EEID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Annual Salary,Country,City,Seniority,Tenure in Years,Total Compensation
E02387,Emily Davis,Sr. Manger,IT,Research & Development,Female,Black,55,141604,United States,Seattle,Middle Adulthood,9.405479452,162845
E04105,Theodore Dinh,Technical Architect,IT,Manufacturing,Male,Asian,59,99975,China,Chongqing,Middle Adulthood,27.77534247,99975
E02572,Luna Sanders,Director,Finance,Speciality Products,Female,Caucasian,50,163099,United States,Chicago,Middle Adulthood,18.8630137,195719
E02832,Penelope Jordan,Computer Systems Manager,IT,Manufacturing,Female,Caucasian,26,84913,United States,Chicago,Young Adulthood,5.934246575,90857
E01639,Austin Vo,Sr. Analyst,Finance,Manufacturing,Male,Asian,55,95409,United States,Phoenix,Middle Adulthood,29.80273973,95409
E00644,Joshua Gupta,Account Representative,Sales,Corporate,Male,Asian,57,50994,China,Chongqing,Middle Adulthood,8.608219178,50994
E01550,Ruby Barnes,Manager,IT,Corporate,Female,Caucasian,27,119746,United States,Phoenix,Young Adulthood,5.17260274,131721
E04332,Luke Martin,Analyst,Finance,Manufacturing,Male,Black,25,41336,United States,Miami,Young Adulthood,5.298630137,41336
E04533,Easton Bailey,Manager,Accounting,Manufacturing,Male,Caucasian,29,113527,United States,Austin,Young Adulthood,6.605479452,120339
E03838,Madeline Walker,Sr. Analyst,Finance,Speciality Products,Female,Caucasian,34,77203,United States,Chicago,Young Adulthood,7.224657534,77203
E00591,Savannah Ali,Sr. Manger,Human Resources,Manufacturing,Female,Asian,36,157333,United States,Miami,Young Adulthood,16.56438356,180933
E03344,Camila Rogers,Controls Engineer,Engineering,Speciality Products,Female,Caucasian,27,109851,United States,Seattle,Young Adulthood,3.865753425,109851
E00530,Eli Jones,Manager,Human Resources,Manufacturing,Male,Caucasian,59,105086,United States,Austin,Middle Adulthood,26.48767123,114544
E04239,Everleigh Ng,Sr. Manger,Finance,Research & Development,Female,Asian,51,146742,China,Shanghai,Middle Adulthood,4.230136986,161416
E03496,Robert Yang,Sr. Analyst,Accounting,Speciality Products,Male,Asian,31,97078,United States,Austin,Young Adulthood,7.830136986,97078
E00549,Isabella Xi,Vice President,Marketing,Research & Development,Female,Asian,41,249270,United States,Seattle,Middle Adulthood,12.47945205,324051
E00163,Bella Powell,Director,Finance,Research & Development,Female,Black,65,175837,United States,Phoenix,Older Adulthood,23.51232877,211004
E00884,Camila Silva,Sr. Manger,Marketing,Speciality Products,Female,Latino,64,154828,United States,Seattle,Older Adulthood,21.76712329,174956
E04116,David Barnes,Director,IT,Corporate,Male,Caucasian,64,186503,United States,Columbus,Older Adulthood,11.83561644,231264
E04625,Adam Dang,Director,Sales,Research & Development,Male,Asian,45,166331,China,Chongqing,Middle Adulthood,23.16438356,196271
E03680,Elias Alvarado,Sr. Manger,IT,Manufacturing,Male,Latino,56,146140,Brazil,Manaus,Middle Adulthood,13.65479452,160754
E04732,Eva Rivera,Director,Sales,Manufacturing,Female,Latino,36,151703,United States,Miami,Young Adulthood,4.419178082,183561
E03484,Logan Rivera,Director,IT,Research & Development,Male,Latino,59,172787,Brazil,Rio de Janerio,Middle Adulthood,23.29041096,221167
E00671,Leonardo Dixon,Analyst,Sales,Speciality Products,Male,Caucasian,37,49998,United States,Seattle,Young Adulthood,5.994520548,49998
E02071,Mateo Her,Vice President,Sales,Speciality Products,Male,Asian,44,207172,China,Chongqing,Middle Adulthood,11.50958904,271395
E02206,Jose Henderson,Director,Human Resources,Speciality Products,Male,Black,41,152239,United States,Columbus,Middle Adulthood,10.38356164,187254
E04545,Abigail Mejia,Quality Engineer,Engineering,Corporate,Female,Latino,56,98581,Brazil,Rio de Janerio,Middle Adulthood,20.58356164,98581
E00154,Wyatt Chin,Vice President,Engineering,Speciality Products,Male,Asian,43,246231,United States,Seattle,Middle Adulthood,21.24931507,322563
E03343,Carson Lu,Engineering Manager,Engineering,Speciality Products,Male,Asian,64,99354,China,Beijing,Older Adulthood,28.76164384,111276
E00304,Dylan Choi,Vice President,IT,Corporate,Male,Asian,63,231141,China,Beijing,Middle Adulthood,13.31780822,309729
E02594,Ezekiel Kumar,IT Coordinator,IT,Research & Development,Male,Asian,28,54775,United States,Columbus,Young Adulthood,8.191780822,54775
E00402,Dominic Guzman,Analyst,Finance,Manufacturing,Male,Latino,65,55499,Brazil,Manaus,Older Adulthood,21.30958904,55499
E01994,Angel Powell,Analyst II,Sales,Research & Development,Male,Caucasian,61,66521,United States,Seattle,Middle Adulthood,17.15342466,66521
E03549,Mateo Vu,Account Representative,Sales,Speciality Products,Male,Asian,30,59100,China,Chongqing,Young Adulthood,8.928767123,59100
E03247,Caroline Jenkins,Analyst,Finance,Research & Development,Female,Caucasian,27,49011,United States,Chicago,Young Adulthood,7.328767123,49011
E02074,Nora Brown,Enterprise Architect,IT,Manufacturing,Female,Caucasian,32,99575,United States,Austin,Young Adulthood,11.56164384,99575
E04152,Adeline Huang,Controls Engineer,Engineering,Manufacturing,Female,Asian,34,99989,China,Chengdu,Young Adulthood,5.715068493,99989
E01628,Jackson Perry,Vice President,Marketing,Research & Development,Male,Caucasian,27,256420,United States,Phoenix,Young Adulthood,5.871232877,333346
E04285,Riley Padilla,Technical Architect,IT,Manufacturing,Female,Latino,35,78940,United States,Miami,Young Adulthood,12.30684932,78940
E01417,Leah Pena,Enterprise Architect,IT,Corporate,Female,Latino,57,82872,Brazil,Manaus,Middle Adulthood,31.68219178,82872
E01754,Owen Lam,Sr. Business Partner,Human Resources,Speciality Products,Male,Asian,30,86317,China,Chengdu,Young Adulthood,8.265753425,86317
E03749,Kennedy Foster,Manager,Marketing,Speciality Products,Female,Caucasian,53,113135,United States,Austin,Middle Adulthood,11.78082192,118792
E03574,John Moore,Vice President,IT,Speciality Products,Male,Caucasian,52,199808,United States,Seattle,Middle Adulthood,19.82739726,263747
E04600,William Vu,Account Representative,Sales,Speciality Products,Male,Asian,37,56037,China,Shanghai,Young Adulthood,11.80547945,56037
E00586,Sadie Washington,Sr. Manger,Marketing,Research & Development,Female,Caucasian,29,122350,United States,Phoenix,Young Adulthood,6.279452055,137032
E03538,Gabriel Holmes,Enterprise Architect,IT,Research & Development,Male,Caucasian,40,92952,United States,Seattle,Middle Adulthood,14.83561644,92952
E02185,Wyatt Rojas,Computer Systems Manager,IT,Corporate,Male,Latino,32,79921,United States,Austin,Young Adulthood,12.46027397,83917
E03830,Eva Coleman,Director,IT,Research & Development,Female,Black,37,167199,United States,Seattle,Young Adulthood,15.95890411,200639
E03720,Dominic Clark,Quality Engineer,Engineering,Research & Development,Male,Caucasian,52,71476,United States,Phoenix,Middle Adulthood,12.88219178,71476
E03025,Lucy Alexander,Director,Engineering,Manufacturing,Female,Caucasian,45,189420,United States,Seattle,Middle Adulthood,10.84931507,227304
E04917,Everleigh Washington,HRIS Analyst,Human Resources,Research & Development,Female,Caucasian,64,64057,United States,Phoenix,Older Adulthood,23.88219178,64057
E00415,Leilani Butler,Analyst II,Marketing,Manufacturing,Female,Black,27,68728,United States,Phoenix,Young Adulthood,3.947945205,68728
E02862,Peyton Huang,Sr. Manger,IT,Manufacturing,Female,Asian,25,125633,China,Beijing,Young Adulthood,4.169863014,139453
E04207,John Contreras,Analyst II,Marketing,Manufacturing,Male,Latino,35,66889,United States,Columbus,Young Adulthood,14.30958904,66889
E02139,Rylee Yu,Director,Accounting,Research & Development,Female,Asian,36,178700,United States,Seattle,Young Adulthood,9.931506849,230523
E01797,Piper Lewis,Field Engineer,Engineering,Research & Development,Female,Caucasian,33,83990,United States,Chicago,Young Adulthood,6.698630137,83990
E01839,Stella Alexander,Automation Engineer,Engineering,Corporate,Female,Caucasian,52,102043,United States,Chicago,Middle Adulthood,19.73972603,102043
E01633,Addison Do,Operations Engineer,Engineering,Manufacturing,Female,Asian,46,90678,United States,Columbus,Middle Adulthood,24.2739726,90678
E01848,Zoey Jackson,Business Partner,Human Resources,Manufacturing,Female,Black,46,59067,United States,Miami,Middle Adulthood,17.04109589,59067
E00716,John Chow,Sr. Manger,Marketing,Research & Development,Male,Asian,45,135062,China,Chengdu,Middle Adulthood,4.479452055,155321
E00699,Ava Ayala,Sr. Manger,IT,Corporate,Female,Latino,55,159044,Brazil,Manaus,Middle Adulthood,19.05753425,174948
E00502,Natalia Salazar,Sr. Analyst,Accounting,Manufacturing,Female,Latino,44,74691,Brazil,Manaus,Middle Adulthood,6.668493151,74691
E04000,Skylar Carrillo,Engineering Manager,Engineering,Corporate,Female,Latino,44,92753,United States,Austin,Middle Adulthood,16.71506849,104811
E02112,Christian Sanders,Vice President,Human Resources,Speciality Products,Male,Black,45,236946,United States,Seattle,Middle Adulthood,12.07671233,324616
E03824,Penelope Coleman,Analyst,Finance,Corporate,Female,Black,36,48906,United States,Miami,Young Adulthood,4.016438356,48906
E03906,Piper Richardson,Sr. Analyst,Sales,Corporate,Female,Caucasian,38,80024,United States,Columbus,Young Adulthood,17.60821918,80024
E00436,Everly Walker,HRIS Analyst,Human Resources,Speciality Products,Female,Caucasian,41,54415,United States,Seattle,Middle Adulthood,15.86849315,54415
E04798,Aurora Ali,Manager,Marketing,Research & Development,Female,Asian,30,120341,United States,Seattle,Young Adulthood,9.361643836,128765
E01249,Penelope Guerrero,Vice President,IT,Speciality Products,Female,Latino,43,208415,United States,Seattle,Middle Adulthood,16.08767123,281360
E03349,Anna Mehta,Cloud Infrastructure Architect,IT,Speciality Products,Female,Asian,32,78844,United States,Seattle,Young Adulthood,5.660273973,78844
E02966,William Foster,Field Engineer,Engineering,Manufacturing,Male,Caucasian,58,76354,United States,Phoenix,Middle Adulthood,23.29315068,76354
E01499,Jade Rojas,Director,Finance,Speciality Products,Female,Latino,37,165927,United States,Phoenix,Young Adulthood,6.597260274,199112
E00105,Isla Espinoza,Manager,Accounting,Speciality Products,Female,Latino,38,109812,Brazil,Manaus,Young Adulthood,3.794520548,119695
E00665,David Chu,Controls Engineer,Engineering,Corporate,Male,Asian,55,86299,United States,Seattle,Middle Adulthood,27.01369863,86299
E00791,Thomas Padilla,Vice President,Marketing,Research & Development,Male,Latino,57,206624,Brazil,Sao Paulo,Middle Adulthood,22.11780822,289274
E01540,Miles Salazar,IT Coordinator,IT,Manufacturing,Male,Latino,36,53215,Brazil,Sao Paulo,Young Adulthood,14.70136986,53215
E04474,Mila Hong,Test Engineer,Engineering,Research & Development,Female,Asian,30,86858,China,Chongqing,Young Adulthood,8.284931507,86858
E03417,Benjamin Moua,Computer Systems Manager,IT,Manufacturing,Male,Asian,40,93971,China,Chongqing,Middle Adulthood,18.18082192,101489
E00254,Samuel Morales,Analyst II,Finance,Corporate,Male,Latino,34,57008,United States,Phoenix,Young Adulthood,10.1890411,57008
E02166,John Soto,Sr. Manger,Finance,Manufacturing,Male,Latino,60,141899,United States,Phoenix,Middle Adulthood,9.947945205,163184
