Date,Dispensed Pharmacy,Dispensed Region,Distribution Method,Order Priority,Ship Date,Distribution Costs,Number of Records,Order ID
1/1/2007,Darren Budd,Central,DTP,Critical,1/1/2007,5.26,1,"57,253"
1/1/2007,Darren Budd,Central,DTP,Critical,1/2/2007,35,1,"57,253"
1/1/2007,Darren Budd,Central,DTP,Critical,1/3/2007,6.43,1,"57,253"
1/1/2007,Matt Collins,Central,DTP,High,1/4/2007,1.99,1,"1,028"
1/1/2007,Dorris Love,South,DTP,Not Specified,1/5/2007,5.83,1,290
1/1/2007,Marina Lichtenstein,Central,Wholesaler,Not Specified,1/6/2007,43.32,1,"32,418"
1/1/2007,Matt Collins,Central,DTP,High,1/7/2007,5.99,1,"1,028"
1/1/2007,Robert Waldorf,South,DTP,High,1/8/2007,5.76,1,"59,232"
1/1/2007,Darren Budd,Central,Wholesaler,Critical,1/9/2007,53.03,1,"57,253"
1/2/2007,Jessica Myrick,Central,DTP,High,1/10/2007,4.69,1,"28,774"
1/2/2007,Matt Collister,West,Custom Order,Not Specified,1/11/2007,35,1,"13,729"
1/3/2007,Elizabeth Moffitt,East,DTP,Critical,1/12/2007,1.97,1,"44,069"
1/3/2007,Alan Schoenberger,West,Wholesaler,Low,1/13/2007,48.8,1,"37,537"
1/3/2007,Elizabeth Moffitt,East,Custom Order,Critical,1/14/2007,2.15,1,"44,069"
1/3/2007,David Philippe,East,DTP,Critical,1/15/2007,2.99,1,"9,285"
1/3/2007,Alan Schoenberger,West,Wholesaler,Low,1/16/2007,45,1,"37,537"
1/3/2007,Alan Schoenberger,West,DTP,Low,1/17/2007,7.07,1,"37,537"
1/4/2007,Alex Russell,South,DTP,High,1/18/2007,1.2,1,"7,909"
1/4/2007,Larry Tron,South,DTP,High,1/19/2007,21.2,1,"9,762"
1/4/2007,Patrick Jones,South,DTP,High,1/20/2007,2.99,1,"40,354"
1/4/2007,Patrick Jones,South,Wholesaler,High,1/21/2007,52.2,1,"40,354"
1/4/2007,Bill Donatelli,East,DTP,Critical,1/22/2007,5.66,1,"30,016"
1/4/2007,Andy Reiter,South,DTP,Low,1/23/2007,16.71,1,"9,637"
1/4/2007,Ann Steele,West,Wholesaler,Not Specified,1/24/2007,14.7,1,"11,972"
1/4/2007,Bill Donatelli,East,DTP,Critical,1/25/2007,2.5,1,"30,016"
1/4/2007,Andy Reiter,South,DTP,Low,1/26/2007,2.27,1,"9,637"
1/4/2007,Andy Reiter,South,DTP,Low,1/27/2007,24.49,1,"9,637"
1/5/2007,Tamara Dahlen,East,DTP,Critical,1/28/2007,6.27,1,"8,710"
1/5/2007,Dave Hallsten,Central,Wholesaler,High,1/29/2007,30,1,"49,730"
1/5/2007,Tamara Dahlen,East,Custom Order,Critical,1/30/2007,1.93,1,"8,710"
1/6/2007,Craig Molinari,Central,DTP,Critical,1/31/2007,35,1,"28,451"
1/6/2007,Valerie Dominguez,Central,DTP,Medium,2/1/2007,4.69,1,"25,601"
1/6/2007,Craig Molinari,Central,Wholesaler,Critical,2/2/2007,17.85,1,"28,451"
1/6/2007,Craig Molinari,Central,Wholesaler,Critical,2/3/2007,99,1,"28,451"
1/6/2007,Susan Vittorini,East,Wholesaler,High,2/4/2007,26.3,1,"52,386"
1/7/2007,Corey Roper,West,Wholesaler,Low,2/5/2007,35.84,1,"48,226"
1/7/2007,Tracy Collins,Central,DTP,Not Specified,2/6/2007,1.99,1,"16,961"
1/7/2007,Muhammed Yedwab,East,DTP,Critical,2/7/2007,0.7,1,"16,770"
1/7/2007,Craig Leslie,West,DTP,Not Specified,2/8/2007,1.1,1,"14,274"
1/7/2007,Julia West,East,Wholesaler,Critical,2/9/2007,44.55,1,"23,488"
1/7/2007,Victor Price,South,Custom Order,Medium,2/10/2007,4.95,1,"6,854"
1/7/2007,Victor Price,South,Custom Order,Medium,2/11/2007,6.16,1,"6,854"
1/7/2007,Craig Leslie,West,Custom Order,Not Specified,2/12/2007,13.99,1,"14,274"
1/7/2007,Maribeth Schnelling,Central,DTP,Low,2/13/2007,8.73,1,"41,094"
1/7/2007,Tracy Collins,Central,DTP,Not Specified,2/14/2007,5.09,1,"16,961"
1/7/2007,Julia Barnett,South,DTP,High,2/15/2007,3.97,1,"23,488"
1/7/2007,Craig Leslie,West,Wholesaler,Not Specified,2/16/2007,30,1,"14,274"
1/7/2007,Maribeth Schnelling,Central,DTP,Low,2/17/2007,35,1,"41,094"
1/8/2007,Jasper Cacioppo,South,Custom Order,Medium,2/18/2007,24.49,1,"3,073"
1/8/2007,Chloris Kastensmidt,East,DTP,High,2/19/2007,13.18,1,"43,909"
1/8/2007,Pauline Chand,East,DTP,High,2/20/2007,5.99,1,"32,295"
1/8/2007,Jasper Cacioppo,South,DTP,Medium,2/21/2007,4.77,1,"3,073"
1/8/2007,Jasper Cacioppo,South,DTP,Medium,2/22/2007,24.49,1,"3,073"
1/8/2007,George Ashbrook,East,Custom Order,Medium,2/23/2007,8.83,1,"18,405"
1/8/2007,George Ashbrook,East,DTP,Medium,2/24/2007,14.52,1,"18,405"
1/8/2007,Benjamin Venier,South,DTP,Low,2/25/2007,5.99,1,"33,923"
1/8/2007,Julie Kriz,Central,DTP,Low,2/26/2007,0.7,1,"40,704"
